fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220427 002209	-0.999704272006128	3411	644	18	5	10455000	89
20220427 002251	-0.961732960275137	3057	450	13	5	10627000	90
20220427 002326	-0.999897414476491	2947	1456	8	5	9508000	91
20220427 002404	-0.401491569214277	2409	620	9	5	10392000	92
20220427 002441	-0.517404154496212	3140	845	9	5	10620000	93
20220427 002524	-0.489080151906781	3055	522	20	5	10701000	94
20220427 002612	-0.231410905407206	8000	73	20	5	8015000	95
20220427 002647	-0.387813145569019	3455	860	8	5	10504000	96
20220427 002725	-0.999839035263038	2780	558	9	5	10506000	97
20220427 002805	-0.651591537387915	2916	784	18	5	10847000	98
20220427 002840	-0.589983792418327	4014	1999	20	5	8905000	99
20220427 002917	-0.636787224785114	2994	766	9	5	10840000	100
20220427 002955	-0.683365276443818	2997	620	9	5	10778000	101
20220427 003035	-0.247055916263565	2864	792	16	5	10640000	102
20220427 003115	-0.957600377257478	2912	800	20	5	10740000	103
20220427 003151	-0.784863816647215	2990	421	8	5	10599000	104
20220427 003234	-0.883321242662545	2960	588	20	5	10778000	105
20220427 003259	-0.295888010915562	5931	1	5	5	8436000	106
20220427 003339	-0.48868351878329	3058	792	16	5	10654000	107
20220427 003413	-0.376811499133996	3060	363	7	5	10634000	108
20220427 003448	-0.359071081991418	4986	1851	11	5	8513000	109
20220427 003526	-0.639203068420351	3145	1276	8	5	9844000	110
20220427 003610	-0.855128106222364	2989	567	15	5	10778000	111
20220427 003648	-0.999906834370182	3294	1624	20	5	9497000	112
20220427 003707	-0.999767332775065	7978	2000	3	5	8239000	113
20220427 003737	-0.355633496630518	1951	339	6	5	10746000	114
20220427 003819	-0.787667005852704	2995	559	14	5	10778000	115
20220427 003855	-0.213769577957191	3205	1538	20	5	9525000	116
